fa_year,disease,general,exposure,mean_hourly,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,unit_original,continent,country,cohort,fu,n,population,incidence,male_pct,mean_temp,Molecular.weight,Type.of.ES,Statistical.method,Population,Outcome,stratification
Cheng et al. (2021b),Acute bronchitis,fixed-effects,O3,17,13-24,1.053,0.608,1.823,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM10,12.3,1,0.95,0.791,1.141,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM10,12.3,2-6,1.061,0.812,1.386,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM10,12.3,7-12,1.027,0.757,1.393,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM10,12.3,13-24,1.089,0.713,1.664,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM2.5,5.2,1,1.003,0.856,1.176,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM2.5,5.2,2-6,1.004,0.799,1.263,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM2.5,5.2,7-12,1.001,0.783,1.278,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Acute bronchitis,fixed-effects,PM2.5,5.2,13-24,1.134,0.843,1.524,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),5298,444412,0.003973790087,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,NO2,4,1,1.512,0.833,2.744,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,NO2,4,2-6,1.451,0.665,3.166,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,NO2,4,7-12,1.083,0.385,3.05,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,NO2,4,13-24,1.597,0.491,5.194,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,O3,17,1,0.514,0.236,1.119,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,O3,17,2-6,0.475,0.204,1.105,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,O3,17,7-12,1.241,0.506,3.046,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,O3,17,13-24,0.231,0.047,1.14,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM10,12.3,1,1.287,0.771,2.149,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM10,12.3,2-6,0.924,0.399,2.136,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM10,12.3,7-12,0.577,0.224,1.485,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM10,12.3,13-24,1.341,0.422,4.26,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM2.5,5.2,1,1.085,0.688,1.711,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM2.5,5.2,2-6,0.744,0.329,1.679,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM2.5,5.2,7-12,1.046,0.524,2.088,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),"Acute lower respiratory infection, unspecified",fixed-effects,PM2.5,5.2,13-24,1.132,0.532,2.407,NA,NA,15.6,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),645,444412,0.0004837853163,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,NO2,4,1,1.116,0.785,1.585,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,NO2,4,2-6,1.311,0.827,2.078,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,NO2,4,7-12,1.129,0.642,1.986,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,NO2,4,13-24,1.543,0.819,2.905,NA,NA,18,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,O3,17,1,1.001,0.651,1.538,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,O3,17,2-6,1.054,0.599,1.857,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,O3,17,7-12,1.546,0.852,2.807,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,O3,17,13-24,1.936,0.731,5.125,NA,NA,38,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
Cheng et al. (2021b),Pneumonia,fixed-effects,PM10,12.3,1,1.27,0.931,1.731,NA,NA,28.1,μg/m3,Australia,Australia,Queensland Emergency Department,3 (2013-2015),1722,444412,0.001291594286,0.6193,NA,NA,OR,Conditional logistic regression,<= 14 years,EDV,cold
