"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-2",1.0012,0.9397,1.0668,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-24",1.0732,0.9809,1.1741,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-3",0.9941,0.9308,1.0616,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-4",0.9953,0.9304,1.0647,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-8",1.0035,0.9327,1.0796,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0",1.0118,0.9762,1.0487,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","1",1.0073,0.9712,1.0447,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","2",0.9953,0.9582,1.0338,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-12",1.0175,0.9725,1.0645,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-2",1.0105,0.974,1.0483,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-24",1.0535,0.9975,1.1126,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-3",1.006,0.9686,1.0447,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-4",1.0033,0.9649,1.0432,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Dennekamp et al. (2015)","OHCA","y","PM2.5","0-8",1.0049,0.963,1.0486,NA,NA,6.1,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","adult"
"Ensor et al. (2013)","OHCA","y","O3","1-3",1.0227,0.9647,1.0823,NA,NA,6,"ppb","USA","America","Houston Fire Department","8 (2004-2011)",22.9833,"OR","Conditional logistic regression","General","EAC","adult"
"Ensor et al. (2013)","OHCA","y","O3","1-3",1.0605,1.0034,1.121,NA,NA,6,"ppb","USA","America","Houston Fire Department","8 (2004-2011)",22.9833,"OR","Conditional logistic regression","General","EAC","elderly"
"Evans et al. (2017)","STEMI","y","BC","1",1.09,0.89,1.33,NA,NA,0.531,"μg/m3","USA","America","URMC Cardiac Catheterization Laboratory","6 (2007-2012)",NA,"OR","Conditional logistic regression","General","HA","adult"
