fa_year,disease,general,exposure,mean_hourly,unit_original,mean_temp,mean_adjusted,lag,ee_original,ll_original,ul_original,Value,Reference,increase_original,country,continent,cohort,fu,n,male_pct,Outcome,Type.of.ES,Statistical.method,Population,RoB,Note,log.EE,log.SE,alog.EE,alog.SE
Bhaskaran et al. (2011),Myocardial infarction,y,SO2,5,μg/m3,NA,5,7-12,1.002,0.977,1.028,NA,NA,10,UK,Europe,MINAP,4 (2003-2006),79288,0.64,EHA,OR,Conditional logistic regression,General,Low,,0.001998002663,0.01298055969,0.001998002663,0.01298055969
Bhaskaran et al. (2012),Myocardial infarction,y,Heat,16.4,°C,NA,16.4,13-18,1.011,0.997,1.026,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,0.01093994004,0.007314350961,0.05469970019,0.03657175481
Bhaskaran et al. (2012),Myocardial infarction,y,Heat,16.4,°C,NA,16.4,1-6,1.019,1.005,1.033,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,0.01882175424,0.007010114446,0.0941087712,0.03505057223
Bhaskaran et al. (2012),Myocardial infarction,y,Heat,16.4,°C,NA,16.4,19-24,0.989,0.977,1.001,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,-0.01106094736,0.006190848794,-0.0553047368,0.03095424397
Bhaskaran et al. (2012),Myocardial infarction,y,Heat,16.4,°C,NA,16.4,7-12,1.002,0.991,1.014,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,0.001998002663,0.005852971893,0.009990013313,0.02926485947
Bhaskaran et al. (2012),NSTEMI,n,Heat,16.4,°C,NA,16.4,1-6,1.012,0.999,1.031,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,0.01192857087,0.008043292186,0.05964285433,0.04021646093
Bhaskaran et al. (2012),STEMI,n,Heat,16.4,°C,NA,16.4,1-6,1.027,1.006,1.049,21,20,1,UK,Europe,MINAP,7 (2003-2009),24861,0.65,EHA,OR,Conditional logistic regression,General,Low,,0.02664193095,0.01067736167,0.1332096547,0.05338680834
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,0,1.0163,0.9796,1.0542,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01616858116,0.01872273963,0.01023327922,0.01184983521
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,1,1.0133,0.977,1.0509,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01321233147,0.01860090991,0.008362235109,0.01177272779
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,2,1.0205,0.9845,1.0579,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02029270327,0.01834367141,0.01284348308,0.01160991861
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,3,1.0329,0.9959,1.0713,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.03237038003,0.01861767662,0.0204875823,0.01178333963
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,4,1.0185,0.9813,1.057,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.01833095668,0.01895708231,0.01160187132,0.01199815336
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,5,1.0237,0.9867,1.062,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02342351494,0.01876101019,0.01482500946,0.01187405708
"Chen, K. et al. (2020)",Myocardial infarction,y,PM10,19.2,μg/m3,NA,19.2,6,1.0247,0.988,1.0628,NA,NA,15.8,Germany,Europe,Ausburg MI Registry,11 (2005-2015),5898,0.762,EHA,OR,Conditional logistic regression,General,Low,,0.02439988682,0.0186172235,0.01544296634,0.01178305285
