"","fa_year","disease","general","exposure","mean_hourly","unit_original","mean_temp","mean_adjusted","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","continent","country","cohort","fu","n","population","incidence","male_pct","Molecular.weight","Type.of.ES","Statistical.method","Population","Outcome","RoB","Note","log.EE","log.SE","alog.EE","alog.SE"
"59","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"7-12",0.812,0.452,1.458,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.208254938820459,0.298759880800095,-0.0741120778720495,0.106320242277614
"60","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM10",12.3,"μg/m3",NA,12.3,"13-24",1.287,0.622,2.667,NA,NA,28.1,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.25231392861399,0.371369752919091,0.0897914336704589,0.132160054419605
"61","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"1",0.981,0.684,1.409,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.019182819416774,0.184356529152074,-0.0122966791133167,0.11817726227697
"62","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"2-6",0.7,0.365,1.339,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.356674943938732,0.331576783701194,-0.228637784576111,0.212549220321278
"63","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"7-12",1.158,0.661,2.027,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.146694379150803,0.285856710867427,0.0940348584300022,0.183241481325274
"64","Cheng et al. (2021b)","Acute lower respiratory infection, unspecified","fixed-effects","PM2.5",5.2,"μg/m3",NA,5.2,"13-24",0.981,0.541,1.779,NA,NA,15.6,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",645,"444412",0.0004837853163,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",-0.019182819416774,0.303670257351876,-0.0122966791133167,0.194660421379408
"65","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","NO2",4,"μg/m3",NA,4,"1",1.184,0.97,1.446,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.168898536461814,0.101852125311551,0.0938325202565633,0.056584514061973
"66","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","NO2",4,"μg/m3",NA,4,"2-6",1.116,0.899,1.385,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.109750863959119,0.110248057181076,0.0609727021995107,0.0612489206561534
"67","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","NO2",4,"μg/m3",NA,4,"7-12",1.097,0.814,1.478,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0925791812930932,0.152164473343267,0.0514328784961629,0.0845358185240373
"68","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","NO2",4,"μg/m3",NA,4,"13-24",1.5,0.907,2.481,NA,NA,18,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.405465108108164,0.256702687136904,0.225258393393425,0.142612603964947
"69","Cheng et al. (2021b)","Acute obstructive laryngitis and epiglottitis","fixed-effects","O3",17,"μg/m3",NA,17,"1",1.031,0.777,1.369,NA,NA,38,"Australia","Australia","Queensland Emergency Department","3 (2013-2015)",3864,"444412",0.002898211569,0.6193,NA,"OR","Conditional logistic regression","<= 14 years","EHA","Low","",0.0305292050348228,0.144488641561429,0.00803400132495337,0.0380233267266918
