"fa_year","disease","general","exposure","lag","ee_original","ll_original","ul_original","Value","Reference","increase_original","unit_original","country","continent","cohort","fu","mean_temp","Type.of.ES","Statistical.method","Population","Outcome","stratification"
"Dahlquist et al. (2020)","Atrial fibrillation","y","PM2.5","12-24",1.04,0.93,1.17,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","female"
"Dahlquist et al. (2020)","Atrial fibrillation","y","PM2.5","12-24",1.04,0.94,1.16,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","male"
"Dahlquist et al. (2020)","Atrial fibrillation","y","PM10","12-24",1.15,1.04,1.28,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","female"
"Dahlquist et al. (2020)","Atrial fibrillation","y","PM10","12-24",1.05,0.93,1.2,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","male"
"Dahlquist et al. (2020)","Atrial fibrillation","y","O3","0-12",1.1,0.88,1.37,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","female"
"Dahlquist et al. (2020)","Atrial fibrillation","y","O3","0-12",1.14,0.95,1.38,NA,NA,10,"μg/m3","Sweden","Europe","STROKESTOP","3 (2012-2013, 2016-2018)",NA,"OR","GEE","Elderly","HA","male"
"Dennekamp et al. (2015)","OHCA","y","CO","0",0.9593,0.892,1.0317,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","1",0.9512,0.8836,1.0239,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","2",0.9542,0.8873,1.0263,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-12",0.9425,0.8618,1.0307,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-2",0.9492,0.8802,1.0236,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-24",0.9402,0.8491,1.041,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-3",0.9445,0.8736,1.0211,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-4",0.9375,0.8638,1.0175,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","CO","0-8",0.9283,0.8474,1.0169,NA,NA,0.3,"ppm","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",14.9,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0",0.9709,0.9074,1.0389,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","1",0.9959,0.9315,1.0646,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","2",0.9723,0.9079,1.0411,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-12",1.0027,0.9248,1.0873,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-2",0.983,0.917,1.0537,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-24",0.9908,0.9037,1.0863,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-3",0.9762,0.9084,1.0492,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-4",0.9792,0.9097,1.054,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
"Dennekamp et al. (2015)","OHCA","y","PM10","0-8",1.0005,0.9246,1.0825,NA,NA,13.7,"μg/m3","Australia","Australia","Victorian Ambulance Cardiac Arrest Registry","2 (2006-2007)",NA,"OR","Conditional logistic regression","General","EAC","female"
